Gene,Ancestry_Category,EUR_Associated,SAS_Associated,Associated_Traits_Count,Associated_Traits_List,Associated_Variants_Count
CDH7,Both (Shared),True,True,52,"Adult body size; Body mass index (BMI, maximum, inv-normal transformed); General cognitive ability; Highest math class taken (MTAG); Metabolic syndrome; Neuroticism; Personality traits or cognitive traits (multivariate analysis); Reaction time; Self-reported math ability (MTAG); Strep throat",50
LINC01684,Both (Shared),True,True,44,Acute kidney injury (model 2); Attention deficit hyperactivity disorder; COVID-19 (covid vs negative); Childhood obesity; Coronary artery disease in type 1 diabetes; General cognitive ability; Glioblastoma; Gut microbial network clusters (Salmon (at 1 year) x Birth Weight interaction; Metabolic syndrome; Thalamus volume,43
RPL21P80,Both (Shared),True,True,19,Bioavailable testosterone levels; Cerebrospinal fluid immune biomarker levels; Cigarettes smoked per day; Dyslexia; General cognitive ability; Height; Insomnia; Localized adiposity (PheCode 278.3); Plasma neurofilament light levels; Raw vegetable consumption,21
UNC5D,Both (Shared),True,True,54,Aspartate aminotransferase levels x vegetarianism interaction; Bioavailable testosterone levels; COVID-19 (hospitalized covid vs population); General cognitive ability; Gut microbial network clusters (Cyan (at 3 months) x Homesmokers interaction; Morningness; Rate of cognitive decline in Alzheimer's disease; Raw vegetable consumption; Self-reported math ability (MTAG); Well-being spectrum (multivariate analysis),65
PIK3R2,Both (Shared),True,True,16,Acceptance of an invitation to participate in a mental health questionnaire; Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Basophil count; Basophil percentage of white cells; Cathepsin L1 levels; Cerebrospinal fluid protein IFI30 levels; Chronic elevation of alanine aminotransferase (cALT) levels; Educational attainment (confirmatory factor analysis Factor 10); IFI30 protein levels; Mental health study participation (completed survey),8
TEX41,Both (Shared),True,True,267,Corneal resistance factor (MTAG); Drinks per week; Forced expiratory volume in 1 second (FEV1); Hematological traits (multi-trait analysis); IL12A or IL12B protein levels; Left ventricular mass x antihypertensive treatment interaction; Node-level brain connectivity (multivariate analysis); Reaction time; Smoking initiation (ever regular vs never regular) (MTAG); Spicy food liking,220
LINC01957,Both (Shared),True,True,65,Atrial fibrillation (MTAG); Cardioembolic stroke (CCSc classification); Cognitive ability (MTAG); Epilepsy; Frailty (Factor 3 - Multimorbidity); Highest math class taken (MTAG); Metabolic syndrome; Refractive error; Self-reported math ability (MTAG); Uveal melanoma,74
TRIM36,Both (Shared),True,True,59,Atrial fibrillation (MTAG); Cardioembolic stroke (CCSc classification); Cognitive ability (MTAG); Epilepsy; Frailty (Factor 3 - Multimorbidity); Left-handedness; Metabolic syndrome; Refractive error; Self-reported math ability (MTAG); Uveal melanoma,66
MIR588,Both (Shared),True,True,256,Brain age gap derived from combined gray and white matter; CTRL protein levels; Forced expiratory volume in 1 second (FEV1); Hematological traits (multi-trait analysis); IDP T1 FAST ROIs L intracalc cortex; Lung function (FVC); Node-level brain connectivity (multivariate analysis); Sex hormone-binding globulin levels adjusted for BMI; Vertical cup-disc ratio; aparc-Desikan lh area pericalcarine,99
RNU6-200P,Both (Shared),True,True,108,Brain morphology (MOSTest); Cortical surface area (min-P); General cognitive ability; Hip index; Linoleic acid levels; Low density lipoprotein cholesterol levels; Self-reported math ability; Sex hormone-binding globulin levels adjusted for BMI; Urinary sodium excretion; aparc-Desikan lh volume caudalmiddlefrontal,43
MIR3681HG,Both (Shared),True,True,90,COVID-19; Circulating SIGLEC6 levels; Creatinine levels in bottom 99% of individuals by creatinine levels; General cognitive ability; Hematological traits (multi-trait analysis); Lymphocytic thyroiditis; Memory decline; Memory performance in cognitive impairment; Uterine fibroids; Weight,92
MIR9-2HG,Both (Shared),True,True,217,Conscientiousness; Fluid intelligence; Hematological traits (multi-trait analysis); Left-handedness; Processed meat consumption; Smoking initiation (ever regular vs never regular) (MTAG); Smoking status; Spherical equivalent; Vertical cup-disc ratio; Vertical cup-disc ratio (multi-trait analysis),124
