Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Height,10907,1325,9582,0,10907,9582
Hematological traits (multi-trait analysis),5747,5747,0,0,5747,0
Height (baseline),4708,4708,0,0,4708,0
Educational attainment,4313,4313,0,0,4313,0
Body mass index,4252,3638,611,3,4249,614
Bone mineral density mean,3270,0,3270,0,3270,3270
Systolic blood pressure,2665,2091,574,0,2665,574
Smoking initiation,2559,2466,65,28,2531,93
Physical function (baseline),2548,2548,0,0,2548,0
Type 2 diabetes,2401,161,2064,176,2225,2240
Diastolic blood pressure,2373,1867,506,0,2373,506
Protein quantitative trait loci (liver),2371,2371,0,0,2371,0
Metabolite levels,2191,2191,0,0,2191,0
GLIPR1 protein levels,2150,2150,0,0,2150,0
Platelet count,2075,1110,957,8,2067,965
Red blood cell count,1988,1161,818,9,1979,827
White blood cell count,1904,983,918,3,1901,921
Heel bone mineral density,1891,1891,0,0,1891,0
Pulse pressure,1891,1367,524,0,1891,524
Metabolic syndrome,1871,1844,13,14,1857,27
Body shape phenotype PC2,1868,1868,0,0,1868,0
Weight,1847,1847,0,0,1847,0
Waist circumference adjusted for body mass index,1794,1644,150,0,1794,150
Schizophrenia,1716,1579,137,0,1716,137
Hip circumference adjusted for BMI,1683,1551,132,0,1683,132
Core binding factor acute myeloid leukemia,1672,1672,0,0,1672,0
Waist-to-hip ratio adjusted for BMI,1658,1658,0,0,1658,0
Body mass index (MTAG),1646,1646,0,0,1646,0
Educational attainment (years of education),1630,1630,0,0,1630,0
Triglyceride levels,1628,645,981,2,1626,983
Mean corpuscular hemoglobin,1610,888,713,9,1601,722
Educational attainment (MTAG),1579,1579,0,0,1579,0
Total cholesterol levels,1562,360,1199,3,1559,1202
Insomnia,1553,1553,0,0,1553,0
Stuttering,1545,1545,0,0,1545,0
Standing height (UKB data field 50),1538,1538,0,0,1538,0
Appendicular lean mass,1531,1524,7,0,1531,7
Refractive error,1471,1436,35,0,1471,35
Estimated glomerular filtration rate (creatinine),1465,216,1249,0,1465,1249
Mean corpuscular volume,1457,631,819,7,1450,826
Eosinophil count,1410,823,587,0,1410,587
Sex hormone-binding globulin levels,1405,1048,357,0,1405,357
Blood protein levels,1385,1385,0,0,1385,0
Highest math class taken (MTAG),1340,1340,0,0,1340,0
Creatinine levels,1322,746,574,2,1320,576
General cognitive ability,1319,1319,0,0,1319,0
Red cell distribution width,1286,702,569,15,1271,584
Lymphocyte count,1277,550,713,14,1263,727
High density lipoprotein cholesterol levels,1271,93,1178,0,1271,1178
Estimated bone mineral density,1261,1261,0,0,1261,0
Gamma glutamyl transferase levels,1251,883,367,1,1250,368
Low density lipoprotein cholesterol levels,1206,142,1064,0,1206,1064
Monocyte count,1184,459,718,7,1177,725
Hematocrit,1178,576,602,0,1178,602
